Country,Continent,latitude,longitude
Afghanistan,Asia,33.7680065,66.2385139
Albania,Europe,1.2315264,-75.89204331320687
Algeria,Africa,28.0000272,2.9999825
Angola,Africa,-11.8775768,17.5691241
Antigua and Barbuda,North America,17.2234721,-61.9554608
Argentina,South America,-34.9964963,-64.9672817
Armenia,Asia,4.491976149999999,-75.74135085294314
Australia,Oceania,-24.7761086,134.755
Austria,Europe,47.59397,14.12456
Azerbaijan,Asia,40.3936294,47.7872508
Bahamas,North America,24.7736546,-78.0000547
Bahrain,Asia,26.0280409,50.55316820508136
Bangladesh,Asia,-0.2864982,36.0514231
Barbados,North America,13.1500331,-59.5250305
Belarus,Europe,53.4250605,27.6971358
Belgium,Europe,50.6402809,4.6667145
Belize,North America,16.8259793,-88.7600927
Benin,Africa,9.5293472,2.2584408
Bhutan,Asia,33.0204804,75.6458366
Bolivia,South America,-17.0568696,-64.9912286
Bosnia and Herzegovina,Europe,44.3053476,17.5961467
Botswana,Africa,-23.1681782,24.5928742
Brazil,South America,-10.3333333,-53.2
Brunei Darussalam,Asia,4.4137155,114.5653908
Bulgaria,Europe,46.7889169,23.6184909
Burkina Faso,Africa,12.0753083,-1.6880314
Burundi,Africa,-3.426449,29.9324519
C̫te d'Ivoire,Africa,7.9897371,-5.5679458
Cabo Verde,Africa,16.0000552,-24.0083947
Cambodia,Asia,3.9767059,-73.1493675
Cameroon,Africa,4.6125522,13.1535811
Canada,North America,61.0666922,-107.991707
Central African Republic,Africa,7.0323598,19.9981227
Chad,Africa,15.6134137,19.0156172
Chile,South America,-31.7613365,-71.3187697
China,Asia,30.047992,-94.3357433
Colombia,South America,4.099917,-72.9088133
Comoros,Africa,-12.2045176,44.2832964
Congo,Africa,-2.9814344,23.8222636
Cook Islands,Oceania,-19.99697155,-157.78587140620786
Costa Rica,North America,9.536456900000001,-84.17566257468567
Croatia,Europe,45.3658443,15.6575209
Cuba,North America,23.0131338,-80.8328748
Cyprus,Asia,34.9174159,32.889902651331866
Czechia,Europe,49.7439047,15.3381061
Democratic People's Republic of Korea,Asia,40.3736611,127.0870417
Democratic Republic of the Congo,Africa,-2.9814344,23.8222636
Denmark,Europe,55.670249,10.3333283
Djibouti,Africa,11.8145966,42.8453061
Dominica,North America,15.4113138,-61.3653618
Dominican Republic,North America,19.0974031,-70.3028026
Ecuador,South America,-1.3397668,-79.3666965
Egypt,Africa,35.8681298,-90.9456751
El Salvador,North America,13.8000382,-88.9140683
Equatorial Guinea,Africa,1.613172,10.5170357
Eritrea,Africa,15.9500319,37.9999668
Estonia,Europe,58.7523778,25.3319078
Ethiopia,Africa,10.2116702,38.6521203
Fiji,Oceania,-18.1239696,179.0122737
Finland,Europe,63.2467777,25.9209164
France,Europe,46.603354,1.8883335
Gabon,Africa,-0.8999695,11.6899699
Gambia,Africa,13.470062,-15.4900464
Georgia,Asia,32.3293809,-83.1137366
Germany,Europe,40.4203479,-79.1166983
Ghana,Africa,8.0300284,-1.0800271
Greece,Europe,43.2097838,-77.6930602
Grenada,North America,12.1360374,-61.6904045
Guatemala,North America,15.5855545,-90.345759
Guinea,Africa,10.7226226,-10.7083587
Guinea-Bissau,Africa,11.815215,-15.2351044
Guyana,South America,4.8417097,-58.6416891
Haiti,North America,19.1399952,-72.3570972
Honduras,North America,15.2572432,-86.0755145
Hungary,Europe,41.9767629,-72.7789842
Iceland,Europe,64.9841821,-18.1059013
India,Asia,22.3511148,78.6677428
Indonesia,Asia,-2.4833826,117.8902853
Iran,Asia,2.9368696,115.4443356
Iraq,Asia,33.0955793,44.1749775
Ireland,Europe,52.865196,-7.9794599
Israel,Asia,39.3181528,-79.8109014
Italy,Europe,42.6384261,12.674297
Jamaica,North America,18.1850507,-77.3947693
Japan,Asia,36.5748441,139.2394179
Jordan,Asia,32.3635964,35.561242
Kazakhstan,Asia,48.1012954,66.7780818
Kenya,Africa,1.4419683,38.4313975
Kiribati,Oceania,0.3448612,173.6641773
Kuwait,Asia,29.3796532,47.9734174
Kyrgyzstan,Asia,42.4858224,74.714583
Lao People's Democratic Republic,Asia,20.0171109,103.378253
Latvia,Europe,56.8406494,24.7537645
Lebanon,Asia,40.375713,-76.4626118
Lesotho,Africa,-29.6039267,28.3350193
Liberia,Africa,5.7499721,-9.3658524
Libya,Africa,26.8234472,18.1236723
Lithuania,Europe,55.3500003,23.7499997
Luxembourg,Europe,49.6112768,6.129799
Madagascar,Africa,-18.9249604,46.4416422
Malawi,Africa,-13.2687204,33.9301963
Malaysia,Asia,4.5693754,102.2656823
Maldives,Asia,3.7203503,73.2244152
Mali,Africa,16.3700359,-2.2900239
Malta,Europe,35.8885993,14.4476911
Marshall Islands,Oceania,8.230816999999998,167.7953223704529
Mauritania,Africa,-34.8870642,-56.2671354
Mauritius,Africa,-20.2759451,57.5703566
Mexico,North America,19.4326296,-99.1331785
Micronesia,Oceania,8.6062347,151.832744331612
Monaco,Europe,43.7311424,7.4197576
Mongolia,Asia,43.9382593,-79.2235563
Montenegro,Europe,-12.6998188,-38.3260762
Morocco,Africa,28.3347722,-10.371337908392647
Mozambique,Africa,-19.302233,34.9144977
Myanmar,Asia,22.0452303,96.4514694
Namibia,Africa,-23.2335499,17.3231107
Nauru,Oceania,-0.5252306,166.9324426
Nepal,Asia,31.2496266,73.6632218
Netherlands,Europe,52.2434979,5.6343227
New Zealand,Oceania,-41.5000831,172.8344077
Nicaragua,North America,12.6090157,-85.2936911
Niger,Africa,17.7356214,9.3238432
Nigeria,Africa,9.6000359,7.9999721
Niue,Oceania,-19.0536414,-169.861341
Norway,Europe,64.5731537,11.52803643954819
Oman,Asia,42.2679001,26.9246399
Pakistan,Asia,30.3308401,71.247499
Palau,Oceania,42.5717989,2.9600905
Panama,North America,8.559559,-81.1308434
Papua New Guinea,Oceania,-5.6816069,144.2489081
Paraguay,South America,-23.3165935,-58.1693445
Peru,South America,-6.8699697,-75.0458515
Philippines,Asia,12.7503486,122.7312101
Poland,Europe,52.215933,19.134422
Portugal,Europe,39.6621648,-8.1353519
Qatar,Asia,39.1074426,47.5061085
"Korea, Republic of",Asia,38.233686649999996,127.00873073371443
Republic of Moldova,Europe,47.2879608,28.5670941
Romania,Europe,45.9852129,24.6859225
Russian Federation,Europe,64.6863136,97.7453061
Rwanda,Africa,-1.9646631,30.0644358
Saint Kitts and Nevis,North America,17.250512,-62.6725973
Saint Lucia,North America,13.8250489,-60.975036
Saint Vincent and the Grenadines,North America,12.90447,-61.2765569
Samoa,Oceania,-13.7693895,-172.12005
San Marino,Europe,43.9458623,12.458306
Sao Tome and Principe,Africa,0.9713095,7.02255
Saudi Arabia,Asia,25.6242618,42.3528328
Senegal,Africa,14.4750607,-14.4529612
Serbia,Europe,44.024322850000004,21.07657433209902
Seychelles,Africa,-4.6574977,55.4540146
Sierra Leone,Africa,8.6400349,-11.8400269
Singapore,Asia,1.357107,103.8194992
Slovakia,Europe,48.7411522,19.4528646
Slovenia,Europe,46.1199444,14.8153333
Solomon Islands,Oceania,-8.7053941,159.1070693851845
Somalia,Africa,8.3676771,49.083416
South Africa,Africa,-28.8166236,24.991639
South Sudan,Africa,7.8699431,29.6667897
Spain,Europe,39.3260685,-4.8379791
Sri Lanka,Asia,7.5554942,80.7137847
Sudan,Africa,10.9,6.5
Suriname,South America,4.1413025,-56.0771187
Swaziland,Africa,-26.5624806,31.3991317
Sweden,Europe,44.133435,-70.822678
Switzerland,Europe,46.7985624,8.2319736
Syrian Arab Republic,Asia,34.6401861,39.0494106
Tajikistan,Asia,38.6281733,70.8156541
Thailand,Asia,13.03876215,101.70017611907599
North Macedonia,Europe,41.6171214,21.7168387
Timor-Leste,,-8.7443169,126.063482
Togo,Africa,8.7800265,1.0199765
Tonga,Oceania,-19.9160819,-175.202642
Trinidad and Tobago,North America,10.7466905,-61.0840075
Tunisia,Africa,36.8002068,10.1857757
Turkey,Asia,38.9597594,34.9249653
Turkmenistan,Asia,39.3763807,59.3924609
Tuvalu,Oceania,-8.6405212,179.1582918181797
Uganda,Africa,1.5333554,32.2166578
Ukraine,Europe,49.4871968,31.2718321
United Arab Emirates,Asia,24.0002488,53.9994829
United Kingdom of Great Britain and Northern Ireland,Europe,54.7023545,-3.2765753
United Republic of Tanzania,Africa,-6.5247123,35.7878438
United States of America,North America,39.7837304,-100.445882
Uruguay,South America,-32.8755548,-56.0201525
Uzbekistan,Asia,41.32373,63.9528098
Vanuatu,Oceania,-16.5255069,168.1069154
Venezuela,South America,8.0018709,-66.1109318
Viet Nam,Asia,15.9266657,107.9650855
Yemen,Asia,16.3471243,47.8915271
Zambia,Africa,-14.5189121,27.5589884
Zimbabwe,Africa,-18.4554963,29.7468414
